Model,DPO2004B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.0002,,,,,,,
Sample Interval,3.84025e-07,,,,,,,
Filter Frequency,7e+07,,,,,,,
Record Length,5207,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,,10,,10,
Vertical Units,V,,V,,V,,V,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,5,,1,,1,,1,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-9.157e-04,8.1,7.9,-0.78,-0.82,-0.08,-0.12,0.3,0.26
-9.154e-04,7.9,8.1,-0.78,-0.74,-0.08,-0.04,0.3,0.34
-9.150e-04,8.1,7.9,-0.78,-0.78,-0.04,-0.12,0.3,0.26
-9.146e-04,7.9,8.1,-0.78,-0.74,-0.08,-0.04,0.3,0.34
-9.142e-04,8.1,7.9,-0.78,-0.78,-0.08,-0.12,0.26,0.26
-9.138e-04,8.1,8.1,-0.74,-0.74,-0.08,-0.04,0.3,0.34
-9.134e-04,8.1,7.9,-0.74,-0.78,-0.08,-0.12,0.26,0.26
-9.131e-04,8.1,8.1,-0.78,-0.74,-0.08,-0.04,0.3,0.3
-9.127e-04,7.9,7.9,-0.78,-0.78,-0.08,-0.12,0.26,0.26
-9.123e-04,7.9,8.1,-0.74,-0.74,-0.08,-0.04,0.3,0.3
-9.119e-04,8.1,7.9,-0.74,-0.78,-0.08,-0.12,0.26,0.26
-9.115e-04,7.9,8.1,-0.78,-0.74,-0.08,-0.08,0.3,0.3
-9.111e-04,7.9,7.9,-0.78,-0.78,-0.08,-0.12,0.26,0.22
-9.107e-04,8.1,8.1,-0.78,-0.74,-0.08,-0.04,0.3,0.3
-9.104e-04,7.9,7.9,-0.78,-0.78,-0.08,-0.12,0.26,0.26
-9.100e-04,8.1,8.1,-0.74,-0.74,-0.08,-0.04,0.26,0.3
-9.096e-04,8.1,7.9,-0.78,-0.78,-0.08,-0.12,0.26,0.26
-9.092e-04,8.1,8.1,-0.74,-0.74,-0.08,-0.08,0.26,0.3
-9.088e-04,8.1,7.9,-0.74,-0.78,-0.08,-0.12,0.26,0.22
